ObjMax: "800"  	//The script stops if not specified after 100, so if below you dont have to add this line.																						
//Actually the Parent is optional - Obj#: "	 would be enough. Replace with SKIP to ignore that line 	New Parent Archetype - Replace Name with FORCE to also execute these changes even if the Archetype already exists.	New Archetype Name	Property1Name	Value - use the prefix # or . for numbers(-7 or DOT .0.2) and < for vectors <1,4,2.7.	DONT FORGET THE "																
// = and 	  are interchangable so Parent	Arch	Name   is equal to   Parent=Arch	Name																		
//This allows to create the .str file as a .csv in a spreadsheet programm. For the export: Field seperator is 	  clear the Text seperator to empty. It should definitly NOT be " .'																					
//Notes For OpenOffice: Tag the Filter option when you use Save As. I don''t know about other programms and languages but for Germans the standard shift+2 and even Alt+32 ? ?  ARE NOT " < - So for example copy this one'	"	Meta	M-NotifyRegion	Link:ScriptParams:#-7	:No Field Name	Link:DetailAttachement:Gizmo	vhot/sub #:#7:rel pos:<1,2,0.3"															
//If you have problems creating new Obj#: Parent fields you can use this function:    CONCATENATE("Obj"	ROW()	": ""Parent") zu deutsch VERKETTEN("Obj"	ZEILE()	": ""Parent")																		

Obj0: "Parent	Trees	Name	DTrees	Scripts:Script 0	DAutoTxtRepl	PhysDims:Size	<1,1,16	RenderAlpha	#1"													
Obj_2: "Parent	Trees	Name	DTreeParts	Scripts:Script 0	DAutoTxtRepl"																	
Obj_1: "Parent	DTreeParts	Name	DTrunks	PhysDims:Size	<1,1,16"																	
Obj1: "Parent	DTreeParts	Name	DLeaves	RenderAlpha	#1"																	
Obj2: "Parent	DTrees	Name	1aTree	ModelName	1aTree"																	
Obj3: "Parent	DTrunks	Name	1aTrunk	ModelName	DTrunk1a	ModelLOD:LOD 0 Model	DTrunk1a	ModelLOD:LOD 1 Model	DTrunk1aLod1	ModelLOD:LOD 2 Model	DTrunk1aLod2"											
Obj7: "Parent	DLeaves	Name	1aLeaves	ModelName	DLeaves1a	ModelLOD:LOD 0 Model	DLeaves1a	ModelLOD:LOD 1 Model	DLeaves1aLod1"													
Obj9: "Parent	DLeaves	Name	1bLeaves	ModelName	DLeaves1b	ModelLOD:LOD 0 Model	DLeaves1b	ModelLOD:LOD 1 Model	DLeaves1bLod1	ModelLOD:LOD 2 Model	DLeaves1bLod2"											
Obj13: "Parent	DTrunks	Name	1bTrunk	ModelName	DTrunk1b	ModelLOD:LOD 0 Model	DTrunk1b	ModelLOD:LOD 1 Model	DTrunk1bLod1	ModelLOD:LOD 2 Model	DTrunk1bLod2"											
Obj_9: "Parent	Bushes	Name	DBushes	RenderAlpha	#1"																	
Obj17: "SKIP	DBushes	Name	2aBush	ModelName	2aBush"																	
Obj18: "Parent	DBushes	Name	2aBushLeaves	ModelName	2aBushLeaves"																	
Obj19: "Parent	2aBushLeaves	Name	2aBushTrunkR	ModelName	2aBushTrunk"																	
Obj20: "Parent	DLeaves	Name	2aLeaves	ModelName	DLeaves2a	ModelLOD:LOD 0 Model	DLeaves2a	ModelLOD:LOD 1 Model	DLeaves2aLod1"													
Obj22: "Parent	DTrees	Name	2aTree	ModelName	2aTree"																	
Obj23: "Parent	DTrunks	Name	2aTrunk	ModelName	DTrunk2a	ModelLOD:LOD 0 Model	DTrunk2a	ModelLOD:LOD 1 Model	DTrunk2aLod1"													
Obj26: "Parent	DLeaves	Name	2bLeaves	ModelName	DLeaves2b	ModelLOD:LOD 0 Model	DLeaves2b	ModelLOD:LOD 1 Model	DLeaves2bLod1"													
Obj27: "SKIP	DLeaves	Name	2bLeaveslod2	ModelName	2bLeavesLod2"																	
Obj28: "Parent	DTrees	Name	2bTree	ModelName	2bTree"																	
Obj29: "Parent	DTrunks	Name	2bTrunk	ModelName	DTrunk2b	ModelLOD:LOD 0 Model	DTrunk2b	ModelLOD:LOD 1 Model	DTrunk2bLod1	ModelLOD:LOD 2 Model	DTrunk2bLod2"											
Obj32: "Parent	DLeaves	Name	3aLeaves	ModelName	DLeaves3a	ModelLOD:LOD 0 Model	DLeaves3a	ModelLOD:LOD 1 Model	DLeaves3aLod1"													
Obj35: "Parent	DTrees	Name	3aTree	ModelName	3aTree	ModelLOD:LOD 0 Model	3aTree	ModelLOD:LOD 1 Model	3aTreelod1	ModelLOD:LOD 2 Model	3aTreelod2"											
Obj38: "Parent	DTrunks	Name	3aTrunk	ModelName	DTrunk3a	ModelLOD:LOD 0 Model	DTrunk3a	ModelLOD:LOD 1 Model	DTrunk3aLod1	ModelLOD:LOD 2 Model	DTrunk3aLod2"											
Obj41: "Parent	DLeaves	Name	3bLeaves	ModelName	DLeaves3b	ModelLOD:LOD 0 Model	DLeaves3b	ModelLOD:LOD 1 Model	DLeaves3bLod1	ModelLOD:LOD 2 Model	DLeaves3bLod2"											
Obj44: "Parent	DTrees	Name	3bTree	ModelName	3bTree	ModelLOD:LOD 0 Model	3bTree	ModelLOD:LOD 1 Model	3bTreelod2"													
